id,album,artist,title,2024-09-29
3508,"Ratchet & Clank: Going Commando","David Bergeaud","Vucover Canyon",
35080,"The Lone Ranger","Kozo Nakamura, Tomoya Tomita, Kenichi Matsubara, Yoshinori Sasaki, Satoko Minami, Kenichiro Fukui","Staff Roll",
35081,"The Lone Ranger","Kozo Nakamura, Tomoya Tomita, Kenichi Matsubara, Yoshinori Sasaki, Satoko Minami, Kenichiro Fukui","San Jacinto Stage",
35082,"The Lone Ranger","Kozo Nakamura, Tomoya Tomita, Kenichi Matsubara, Yoshinori Sasaki, Satoko Minami, Kenichiro Fukui","Town",991
35083,"The Lone Ranger","Kozo Nakamura, Tomoya Tomita, Kenichi Matsubara, Yoshinori Sasaki, Satoko Minami, Kenichiro Fukui","Store / Bank / Station / Hotel",
35084,"The Lone Ranger","Kozo Nakamura, Tomoya Tomita, Kenichi Matsubara, Yoshinori Sasaki, Satoko Minami, Kenichiro Fukui","Brownsville at Night",
35085,"The Lone Ranger","Kozo Nakamura, Tomoya Tomita, Kenichi Matsubara, Yoshinori Sasaki, Satoko Minami, Kenichiro Fukui","Card Game",
35087,"The Lone Ranger","Kozo Nakamura, Tomoya Tomita, Kenichi Matsubara, Yoshinori Sasaki, Satoko Minami, Kenichiro Fukui","Butch's Hideout",
35088,"Super Smash Bros. Ultimate","The 8-Bit Big Band, Virtual Community Orchestra","Lifelight",
35089,"Backwards Compatible","The 8-Bit Big Band, Zac Zinger","Birdman (Pilotwings 64)",
3509,"Ratchet & Clank: Going Commando","David Bergeaud","Allgon City",
35090,"Backwards Compatible","The 8-Bit Big Band, Accent","Lost in Thoughts All Alone (Fire Emblem Fates)",991
35091,"Backwards Compatible","The 8-Bit Big Band, Grace Kelly","Hydrocity Zone (Sonic the Hedgehog 3)",991
35093,"Backwards Compatible","The 8-Bit Big Band, Sam Dillon","Gourmet Race (Kirby Super Star)",
35095,"Backwards Compatible","The 8-Bit Big Band, Benny Benack III","Want You Gone (Portal 2)",
35096,"Backwards Compatible","The 8-Bit Big Band","Super Mario World End Theme (Super Mario World)",
35097,"Backwards Compatible","The 8-Bit Big Band, Leo P.","Super Mario Land Underground (Super Mario Land)",
35098,"Backwards Compatible","The 8-Bit Big Band, Buttonmasher","Metaknights Revenge (Kirby Super Star)",
35099,"Backwards Compatible","The 8-Bit Big Band, Tiffany Mann","Snake Eater (Metal Gear Solid 3)",
3510,"Ratchet & Clank: Going Commando","David Bergeaud","Thug HQ",
35100,"Backwards Compatible","The 8-Bit Big Band, Adam Neely","Saria's Song (Zelda: Ocarina of Time)",1018
35101,"Backwards Compatible","The 8-Bit Big Band, Grace Kelly","Jump Up Super Star (Super Mario Odyssey)",
35102,"Deltarune","The 8-Bit Big Band, insaneintherainmusic","Field of Hopes and Dreams",
35103,"The Legend of Zelda: Skyward Sword","Phonetic Hero","Goddess (Zelda's Lullaby)",
35104,"Stritch's Brew","Super Soul Bros.","Pokemon RBY Theme",
35105,"Stritch's Brew","Super Soul Bros.","Flying Battery Zone",
35106,"Stritch's Brew","Super Soul Bros.","Bob-Omb Battlefield",
35107,"Stritch's Brew","Super Soul Bros.","Stickerbush Symphony",
35108,"Stritch's Brew","Super Soul Bros.","Baccano!",
"35109","Invalid song","Invalid song","Invalid song",
3511,"Ratchet & Clank: Going Commando","David Bergeaud","Megacorps Armoury",
35111,"Stritch's Brew","Super Soul Bros.","Your Name Please",991
35112,"Stritch's Brew","Super Soul Bros.","Living On The Deck",
35114,"Stritch's Brew","Super Soul Bros.","Mario Circuit",
35115,"Stritch's Brew","Super Soul Bros.","Spring Yard Zone",
35116,"Calm Everlasting: Music from FINAL FANTASY X","halc","Where the Pyreflies Are",
35117,"Calm Everlasting: Music from FINAL FANTASY X","halc","Washed Up",
35118,"Calm Everlasting: Music from FINAL FANTASY X","halc","Knockin' on Farplane's Door",
35119,"Calm Everlasting: Music from FINAL FANTASY X","halc","For My Daughter",
35121,"Calm Everlasting: Music from FINAL FANTASY X","halc","Suteki na Kimochi (A Wonderful Feeling)",
35122,"Calm Everlasting: Music from FINAL FANTASY X","halc","Waking the Fayth",
35123,"Chrono Cinematica: A Symphonic Tribute","Sam Dillard","Against The Wind",
