id,album,artist,title,rating,Current score,votescore,rankscore,scoreDiff
24726,"Super Final Match Tennis","Ivan Hakštok, Wild_Cat, XPRTNovice, jnWake","5 Minutes of Glory",3.7623188,1063,75.246376,98.8537664266572,23.607390426657204
18895,"Space Harrier","CarboHydroM","Limitless Skies",3.836111,1108,76.72222,99.95802524942688,23.23580524942689
39170,"Metroid Fusion","Xaleph, Emunator, ZackParrish, Lucas Guimaraes, Ridley Snipes, JSABlixer, lunarice","DIABLO ALADO",3.775,1063,75.5,98.66003680862742,23.160036808627424
14821,"Monty on the Run","Rob Hubbard","Main Theme",3.8297873,1081,76.595746,99.72877853475832,23.133032534758314
13589,"Big Nose the Caveman","Camerica","Theme IV",3.76875,1054,75.375,98.5050531142036,23.130053114203605
39192,"When It Hits the Fan","Ryunocore","Bonus Stage",3.8266666,1081,76.533332,99.6093119369733,23.075979936973297
16058,"Triptunes","Blitz Lunar","Bedroom Superstar",3.8235295,1072,76.47059,99.52536243582706,23.05477243582706
13030,"The Secret of Monkey Island","Michael Land","Deep in the Caribbean...",3.8119402,1063,76.238804,99.07009783345711,22.83129383345711
13704,"Sam & Max Save The World","Jared Emerson-Johnson","Combat Begin!!",3.8457143,1081,76.914286,99.74492266959413,22.830636669594128
14117,"Comic Bakery","Martin Galway","Title",3.7933333,1054,75.866666,98.47922249846631,22.61255649846632
19003,"Super Mario Bros.","Chris J. Hampton","Super Jungle Brothers",3.8419354,1072,76.838708,99.43172645377935,22.59301845377935
22853,"Puzznic","Tim Follin","Title Theme",3.8172414,1063,76.34482799999999,98.87636821542733,22.53154021542734
14601,"Sonic Chaos","Kojiro Mikusa, Masayuki Nagao","Gigalopolis Zone (SMS)",3.8,1054,76,98.45662070969617,22.456620709696168
37259,"Hollow Knight","Justin Thornburgh, Chromatic Apparatus, Dewey Newt","Hallownest Below the Wastes",3.8181818,1063,76.363636,98.70201155920054,22.338375559200543
39171,"Streets of Rage","gravitygauntlet","Hydraulic Beat",3.8166666,1063,76.333332,98.65680798166026,22.323475981660266
39196,"Flowstone Saga","prophetik music","Ruins of the Future",3.8666666,1081,77.333332,99.60608311000614,22.27275111000614
28346,"Gunstar Heroes (Game Gear)","Masami Yitsuse, M. Yoshida, Y. Mizusawa","Empire - The Final Assault",3.878788,1090,77.57576,99.79658390106874,22.22082390106874
17641,"Cybernoid II: The Revenge","Jeroen Tel","Cybernoid II",3.87,1072,77.4,99.49953182008976,22.09953182008975
38350,"Gremlins 2: The New Batch","Astral Tales","Astral Office",3.8833334,1090,77.666668,99.76429563139712,22.097627631397117
21598,"Bleed","Ian Campbell","Tension",3.8451612,1063,76.90322400000001,98.89251235026315,21.989288350263138
18351,"BadAss: Boss Themes: Volume II","Lashmush","Bowzilla",3.88169,1072,77.6338,99.4607858964838,21.826985896483805
14584,"Power Quest","Koichi Fujiwara","Great Sweater",3.832258,1054,76.64516,98.45984953666334,21.814689536663337
13123,"Deadlock","Reyn Ouwehand","Title",3.890566,1072,77.81132000000001,99.58671014820317,21.775390148203158
28135,"Final Fantasy IX","Tomo Club","Não Está Sozinho",3.8541667,1063,77.083334,98.80856284911692,21.72522884911693
17005,"Imploder","Paul van der Valk","Title",3.913158,1099,78.26316,99.91927932582094,21.65611932582094
39049,"Hany in the Sky","Kenichi Iwanaga","For the Gloomy Gods",3.8526316,1063,77.052632,98.67295211649608,21.620320116496075
19505,"Lemmings","dabombinc.","DABOMB",3.8675675,1063,77.35135,98.93448710083626,21.583137100836268
13122,"Magician","Neil Baldwin","Town of Serenna",3.9130435,1081,78.26087,99.7481514965613,21.48728149656131
39127,"Sonic the Fighters","Maki Morrow","CASINO NIGHT [Here We Go]",3.8625,1063,77.25,98.66649446256174,21.416494462561744
15123,"Bloo Kid","Eiswuxe","World 7",3.90625,1072,78.125,99.53504891672856,21.410048916728556
14678,"Slalom","David Wise","Downhill Theme",3.9348838,1099,78.697676,99.92896580672242,21.231289806722415
39190,"Tentama 2wins","Takeshi Abo","Tentamakkusu",3.8714285,1063,77.42857,98.64712150075877,21.218551500758778
38874,"Magic Johnson's Basketball (ZX Spectrum)","Alberto José González","Title Screen",3.89,1063,77.8,98.67940977043041,20.879409770430414
39081,"Castlevania: Symphony of the Night","Emunator, ZackParrish, Lucas Guimaraes","Smoke & Marbles",3.9272728,1072,78.545456,99.18633560427497,20.64087960427497
28571,"Yume Kōjō: Doki Doki Panic","Koji Kondo","File Clear",3.9085715,1063,78.17143,98.79887636821543,20.62744636821543
11994,"The Last Ninja","Fby","The Last Ninja (palace garden concerto)",3.9,1054,78,98.55994317264538,20.559943172645376
16744,"Rollergames","Katsuhiko Suzuki, Shigemasa Matsuo, Atsushi Fujio, Norio Hanzawa","Near Point",3.9212122,1063,78.424244,98.98291950534372,20.558675505343714
14783,"Castlevania III: Dracula's Curse","Jun Funahashi, Yukie Morimoto, Hidenori Maezawa","Big Battle",3.8941176,1054,77.882352,98.43079009395886,20.548438093958865
